hogar_id,consumo_kwh,ajustado,residuo_estudentizado,leverage
H0261,425.24338153264466,487.3596203535057,-1.4146463713550148,0.0683094615843141
H0298,575.0633440099494,515.9615151836981,1.350768157054639,0.07488148194497171
H0278,586.2792245973876,541.751153164788,1.0159415991194505,0.07170193038994827
H0027,522.413694505783,561.891809174488,-0.9127778759933245,0.09605967437960417
H0013,442.16851464595766,481.17329504901954,-0.88826199878388,0.06822581986623967
H0155,416.86511238326574,379.3062460770885,0.8778592123945314,0.11542966552218246
H0165,507.373124767821,537.2574961890316,-0.711500429909705,0.14749864073089572
H0116,369.12984749606704,340.64234026525736,0.6479154669086304,0.06582258198925954
H0035,332.12946601276707,359.97883478989456,-0.6411214955615835,0.08818402097190867
H0351,447.6248748059641,426.2334615179226,0.4942249692525603,0.09471202060829488
H0049,583.5731308432627,567.384631348176,0.3693966811424618,0.07192221637828469
H0040,552.7312527221576,566.3488243000313,-0.3294855909434589,0.17456354992902465
H0118,445.2342402902953,432.6602325905455,0.3281871616542312,0.29064859867246273
H0379,508.305620973248,511.30301703319003,-0.06838039220221875,0.07149926410897657
