dia,estacion,indice_trafico,viento_kmh,humedad,temperatura_c,velocidad_promedio,no2_ppb,co_ppm,entregas_urbanas,lluvia_mm,inversion_termica,pm25_ug_m3
2024-01-01,invierno,70.28637293677302,12.384458729167116,83.57585106694447,22.191048427266782,30.573980595084247,38.47775121193327,1.0040995752357709,2245.40463754064,2.0952860139798393,1,51.283973502874076
2024-01-02,invierno,64.39458303104851,5.896941860489832,45.137947973021326,27.38995140207103,34.94522689153349,35.79477440455846,0.9001050776962537,2038.7864713878973,3.41053180840554,1,42.85974674345725
2024-01-03,invierno,73.79904092909887,16.404254553047263,42.91316533271565,24.579885827499943,27.803003242077178,38.359105426278305,1.0941563356981936,2290.4531305847704,1.0645180372702925,1,37.47442193937883
2024-01-04,invierno,69.27240321434331,2,65.83003621411503,20.0860474404679,36.02605374849421,34.12989348637373,1.2070546238594884,2127.329003258636,2.2519167891830296,0,51.04378528574638
2024-01-05,invierno,68.92196014422763,7.483716290963186,63.64327746898642,16.174307117673884,30.14429690599888,38.18760070998217,1.0822350627428952,2277.316407667717,5.5830586104457405,1,48.48263312106441
2024-01-06,invierno,53.91830715726339,15.644979571649413,50.27332307357545,23.973579653755497,37.788807682239515,29.127719528705878,0.7317081567071013,1947.0276137897954,3.235419621877975,0,17.861021432261538
2024-01-07,invierno,65.79116879852724,8.1125528029045455,45.28513781945518,23.865826674327625,28.150551058040303,39.271120812573784,1.1227249564883393,2158.477476094919,0.935328838034315,0,48.53607755185313
2024-01-08,invierno,51.33943833896649,9.42994269117699,48.908009536407434,23.18378491903922,35.1107395768019,29.474476297712727,0.6998958335455445,1963.1242133450492,1.906363187816813,0,31.392355377374653
2024-01-09,invierno,64.59710095964488,20.46433960386313,76.55992113490082,17.31213047856936,28.100795364672475,33.40199211424603,0.8644985577260473,1874.5140770182416,3.934386303778445,1,30.04963878162907
2024-01-10,invierno,81.00844824705769,14.782321496648919,59.98607813625824,23.578223520759447,19.88996827500883,42.878064311610494,1.2043674679633947,2186.9756462962996,0.5434313355820671,0,37.36632139599072
2024-01-11,invierno,25.903963190491638,5.3955730097161965,80.41326793988951,25.678239660278336,36.44721734366233,19.246236807771346,0.6364820704549753,1629.5472594844164,0.4844634750179614,0,29.21154095122322
2024-01-12,invierno,61.320327269893006,9.016395439262025,71.03524234209485,17.682416639733972,38.13751628077037,30.582242908375356,0.9554251029580743,2073.0942892549856,3.7133372693395974,0,32.453059911731714
2024-01-13,invierno,65.93379548751446,7.404222971103238,68.00991138166408,27.846298155377742,26.116092112119876,36.23242364386683,1.0018036295841075,2158.039070050679,1.6327304903184936,1,51.45411703431741
2024-01-14,invierno,55.3546757286734,11.372079414127048,76.26791154187619,23.27157610167575,25.805164714712653,30.977330867175592,0.9462210788968638,1971.4179533945178,4.473501111996009,0,41.93691309148036
2024-01-15,invierno,53.46392163625394,5.571250254643419,53.62980542239683,18.44721799295891,32.00664706376331,34.08642148112559,0.8860979172451414,1848.2865114130611,1.072414204691962,1,46.00352840052181
2024-01-16,invierno,91.61996239557126,9.825109386769702,71.14586872543472,19.000775137587528,19.691679972693812,47.12605890741261,1.322197131224872,2569.9435693096484,2.059412931628179,0,41.960124021163615
2024-01-17,invierno,78.60167427263515,16.708600262237137,72.482127816346,20.917777462997822,28.30190595625491,39.84723611233386,1.2163114577557703,2534.4182483634577,9.017165430080835,0,37.65583558754913
2024-01-18,invierno,56.51808858178535,13.659912964524176,53.021069065440244,25.088044444808844,31.654354761955975,34.40804858057998,0.9047045942612755,2023.8665879162234,7.381814368356111,1,36.13352871802836
2024-01-19,invierno,72.42116981689652,13.013461423938987,91.19088053934395,23.21729577990985,28.359487144055397,43.18677037531665,1.1181106388005504,2002.7797623391243,3.0553372903928024,0,40.6067761082835
2024-01-20,invierno,63.67324222304577,8.787167608617583,71.49979198215762,28.61683917796714,29.18877374594685,37.08158269469781,1.0108612928180274,2179.3577465864487,0.8821946101849627,1,43.87150152844653
2024-01-21,invierno,57.689845065743114,9.738151289735331,64.87516297827264,23.687515026483354,31.969488582203414,29.912584830114135,0.7415296471204285,2157.3155334598696,4.128523537293274,0,30.173026992746674
2024-01-22,invierno,76.1701686499192,12.586885665734265,67.07698586350774,14.24408614062018,28.78415535322829,35.15192590528516,1.151732113549389,2272.1184436383755,4.3058285822302205,0,30.513302066577765
2024-01-23,invierno,78.45244613171445,5.512170033644272,64.64754921517671,16.242963814556383,29.249202228600502,34.050603083441615,1.1440115712671086,2414.161809673798,1.217429212785064,1,52.414448615274274
2024-01-24,invierno,57.424806214976876,2,80.7478402611889,29.224282278666486,29.4223757958036,35.629175221465644,0.8332441935041115,2079.749504793514,2.0985442170175803,1,58.66999856343114
2024-01-25,invierno,96.40952450889051,9.6239056674447,56.50819795854263,23.53027377675257,27.905057872985978,45.135347379130174,1.3534076018844552,2410.493176048188,3.8189682236126883,1,41.713882373619256
2024-01-26,invierno,56.907355088068854,9.55920982701535,70.56913663690835,28.139491122418175,36.06709741725332,38.6901970527841,0.8548413440071587,1969.8309505703298,0.7610562918461246,1,52.75390132741539
2024-01-27,invierno,80.18606342179974,14.187699942401307,50.18337773440325,22.93819692694467,24.103416733111043,45.72174154793524,1.1256812470932547,2327.995995430871,3.8162036002500423,0,27.794512385091643
2024-01-28,invierno,69.93302687717882,8.765524803577161,32.898228646739,18.108976858827106,25.620949534084104,34.34813350299551,1.0312579857800153,1987.727512931213,1.3000816460737084,0,33.2569263894458
2024-01-29,invierno,64.91624387039279,7.9494091133233855,45.745608622601516,18.22108092879358,32.34838710947843,35.86758193221031,1.0012125672799683,1844.8397717694902,2.8810570618699747,1,38.27191609883473
2024-01-30,invierno,68.52377365519604,13.019333575628504,79.33953662866482,20.035050202303857,26.063969557681173,46.8662075232741,0.8570110968494609,2054.456907776196,4.156236587169575,0,47.709936279218994
2024-01-31,invierno,86.82368709833781,8.167026024462277,75.98605278259659,15.14394782418237,19.731309627522002,46.664563393274435,1.325851996589462,2285.2622833308164,8.342824408083946,0,42.572711737725356
2024-02-01,invierno,85.12761252300953,17.252466533152667,58.79078454670315,26.030629952036552,19.021133478731432,49.249008469347416,1.2639634182778514,2262.8864236519735,3.7134697983526546,0,40.646917505864856
2024-02-02,invierno,70.16715745126434,6.852768621832291,65.68601236515877,16.704805969966355,29.440058723268624,36.29464676442189,1.085050102711841,2150.121194028558,7.101547268865339,1,45.75990210817726
2024-02-03,invierno,81.31683015794425,14.36136515407749,42.07100653246269,26.74454541000103,27.765935013581853,46.61460012685417,1.1673784473718611,2302.682951978508,0.1824509074717656,0,43.863683869460715
2024-02-04,invierno,69.1453376020893,2.7364460519364098,61.65516336504599,28.754916123911606,26.30851444190906,38.49355518803854,1.077093984445699,2057.7204278247127,5.424864641284302,0,44.244656722966994
2024-02-05,invierno,81.40938612476629,17.019387910544502,63.32448584459662,24.235809550514016,29.971636847323992,55.4428898172218,1.1546375725765516,2321.3554775941884,0.6748627275404463,0,39.81527813672129
2024-02-06,invierno,68.44281334124321,10.465153841749508,51.13608960924462,18.657577451712054,22.712065063866664,33.211881137208835,1.027047605554002,2118.1737319196122,0.5611549589840626,0,38.55479535581326
2024-02-07,invierno,89.21288980126452,2.7299673378660945,64.58206542519002,7.27153995238433,20.258441128498085,43.07063424420029,1.2890877019031977,2350.869400136529,4.25980292561324,0,53.56119409915827
2024-02-08,invierno,48.32410519903741,5.153347827834066,55.46453686234133,20.495830880187526,34.46877117572892,27.59208573065069,0.6568362559242793,1943.6429455827024,5.4881032314333185,0,31.46478026600758
2024-02-09,invierno,86.13189218290677,10.333431530125889,60.025289206842025,23.66853550119106,24.57475441839451,44.28643492967385,1.2997980731151357,2518.375157654413,0.7315616198076568,0,29.326036140442028
2024-02-10,invierno,72.46546393712644,17.982454931203385,52.6279406512432,25.79257096286202,23.223886163265448,38.53668680834128,0.9292447648853449,2048.061550190142,0.8743042901923047,0,41.89519627841338
2024-02-11,invierno,82.96373299379793,8.578321405420148,63.575973423898226,27.554206601155695,25.821468023572713,40.41660791107879,0.9627294026703174,2143.619026097145,0.7233862914160147,0,44.93128224396978
