estado_id,estado,anio,consumo_cigarrillos,tratado,post
1,California,1980,123,1,0
1,California,1981,126.8,1,0
1,California,1982,121.9,1,0
1,California,1983,120.6,1,0
1,California,1984,116.1,1,0
1,California,1985,124,1,0
1,California,1986,120.5,1,0
1,California,1987,116.6,1,0
1,California,1988,117,1,0
1,California,1989,117,1,0
1,California,1990,94,1,1
1,California,1991,89.2,1,1
1,California,1992,86.2,1,1
1,California,1993,79.6,1,1
1,California,1994,73.9,1,1
1,California,1995,69.3,1,1
1,California,1996,64.1,1,1
1,California,1997,54.2,1,1
1,California,1998,53.4,1,1
1,California,1999,46.3,1,1
2,Estado_01,1980,120.8,0,0
2,Estado_01,1981,115.1,0,0
2,Estado_01,1982,112.2,0,0
2,Estado_01,1983,120.9,0,0
2,Estado_01,1984,117.5,0,0
2,Estado_01,1985,119.6,0,0
2,Estado_01,1986,117.3,0,0
2,Estado_01,1987,113,0,0
2,Estado_01,1988,114.2,0,0
2,Estado_01,1989,114.9,0,0
2,Estado_01,1990,107.4,0,1
2,Estado_01,1991,108.2,0,1
2,Estado_01,1992,105.9,0,1
2,Estado_01,1993,104.9,0,1
2,Estado_01,1994,99.5,0,1
2,Estado_01,1995,98.9,0,1
2,Estado_01,1996,96.2,0,1
2,Estado_01,1997,92.8,0,1
2,Estado_01,1998,90.2,0,1
2,Estado_01,1999,89.3,0,1
3,Estado_02,1980,76.9,0,0
3,Estado_02,1981,81.5,0,0
3,Estado_02,1982,76.3,0,0
3,Estado_02,1983,80.4,0,0
3,Estado_02,1984,79.2,0,0
3,Estado_02,1985,73.2,0,0
3,Estado_02,1986,74.9,0,0
3,Estado_02,1987,76.4,0,0
3,Estado_02,1988,72.6,0,0
3,Estado_02,1989,77.8,0,0
3,Estado_02,1990,64.5,0,1
3,Estado_02,1991,59.6,0,1
3,Estado_02,1992,60.4,0,1
3,Estado_02,1993,58.6,0,1
3,Estado_02,1994,52.8,0,1
3,Estado_02,1995,47.8,0,1
3,Estado_02,1996,47.5,0,1
3,Estado_02,1997,45.8,0,1
3,Estado_02,1998,44.2,0,1
3,Estado_02,1999,35,0,1
4,Estado_03,1980,113.5,0,0
4,Estado_03,1981,114.3,0,0
4,Estado_03,1982,116.3,0,0
4,Estado_03,1983,119.4,0,0
4,Estado_03,1984,113.8,0,0
4,Estado_03,1985,115.6,0,0
4,Estado_03,1986,113.3,0,0
4,Estado_03,1987,111.5,0,0
4,Estado_03,1988,111.4,0,0
4,Estado_03,1989,111.5,0,0
4,Estado_03,1990,110.2,0,1
4,Estado_03,1991,104.1,0,1
4,Estado_03,1992,100.5,0,1
4,Estado_03,1993,99.7,0,1
4,Estado_03,1994,99.8,0,1
4,Estado_03,1995,90.7,0,1
4,Estado_03,1996,87.4,0,1
4,Estado_03,1997,87.2,0,1
4,Estado_03,1998,90.4,0,1
4,Estado_03,1999,84.6,0,1
5,Estado_04,1980,112.6,0,0
5,Estado_04,1981,115.4,0,0
5,Estado_04,1982,117.3,0,0
5,Estado_04,1983,122.1,0,0
5,Estado_04,1984,120.2,0,0
5,Estado_04,1985,114.6,0,0
5,Estado_04,1986,116.6,0,0
5,Estado_04,1987,109.4,0,0
5,Estado_04,1988,108.9,0,0
5,Estado_04,1989,113.3,0,0
5,Estado_04,1990,114.3,0,1
5,Estado_04,1991,107.8,0,1
5,Estado_04,1992,107.4,0,1
5,Estado_04,1993,99.5,0,1
5,Estado_04,1994,101.8,0,1
5,Estado_04,1995,102,0,1
5,Estado_04,1996,95.6,0,1
5,Estado_04,1997,91.8,0,1
5,Estado_04,1998,91.1,0,1
5,Estado_04,1999,88.4,0,1
6,Estado_05,1980,105.8,0,0
6,Estado_05,1981,105.6,0,0
6,Estado_05,1982,103.7,0,0
6,Estado_05,1983,110.7,0,0
6,Estado_05,1984,108.1,0,0
6,Estado_05,1985,106.9,0,0
6,Estado_05,1986,100.5,0,0
6,Estado_05,1987,101,0,0
6,Estado_05,1988,93.8,0,0
6,Estado_05,1989,96.2,0,0
6,Estado_05,1990,86.7,0,1
6,Estado_05,1991,87.9,0,1
6,Estado_05,1992,86.5,0,1
6,Estado_05,1993,91.7,0,1
6,Estado_05,1994,82.7,0,1
6,Estado_05,1995,78.9,0,1
6,Estado_05,1996,78,0,1
6,Estado_05,1997,78,0,1
6,Estado_05,1998,69,0,1
6,Estado_05,1999,71.5,0,1
7,Estado_06,1980,103.5,0,0
7,Estado_06,1981,104.1,0,0
7,Estado_06,1982,106.2,0,0
7,Estado_06,1983,103.3,0,0
7,Estado_06,1984,102.7,0,0
7,Estado_06,1985,104.4,0,0
7,Estado_06,1986,103.8,0,0
7,Estado_06,1987,95.8,0,0
7,Estado_06,1988,97.4,0,0
7,Estado_06,1989,96.1,0,0
7,Estado_06,1990,92.2,0,1
7,Estado_06,1991,93.5,0,1
7,Estado_06,1992,86.1,0,1
7,Estado_06,1993,81,0,1
7,Estado_06,1994,80.9,0,1
7,Estado_06,1995,80,0,1
7,Estado_06,1996,71.5,0,1
7,Estado_06,1997,75.9,0,1
7,Estado_06,1998,68.5,0,1
7,Estado_06,1999,67.4,0,1
8,Estado_07,1980,103.6,0,0
8,Estado_07,1981,107,0,0
8,Estado_07,1982,101.9,0,0
8,Estado_07,1983,105.9,0,0
8,Estado_07,1984,101,0,0
8,Estado_07,1985,102.1,0,0
8,Estado_07,1986,102,0,0
8,Estado_07,1987,99.7,0,0
8,Estado_07,1988,94.3,0,0
8,Estado_07,1989,90.3,0,0
8,Estado_07,1990,86.5,0,1
8,Estado_07,1991,88.5,0,1
8,Estado_07,1992,82.9,0,1
8,Estado_07,1993,78.3,0,1
8,Estado_07,1994,77,0,1
8,Estado_07,1995,76.3,0,1
8,Estado_07,1996,71.3,0,1
8,Estado_07,1997,66.4,0,1
8,Estado_07,1998,62,0,1
8,Estado_07,1999,61.7,0,1
9,Estado_08,1980,108.1,0,0
9,Estado_08,1981,110.3,0,0
9,Estado_08,1982,110.1,0,0
9,Estado_08,1983,107,0,0
9,Estado_08,1984,106,0,0
9,Estado_08,1985,111.1,0,0
9,Estado_08,1986,105.7,0,0
9,Estado_08,1987,105.1,0,0
9,Estado_08,1988,106.2,0,0
9,Estado_08,1989,100,0,0
9,Estado_08,1990,96.2,0,1
9,Estado_08,1991,100.6,0,1
9,Estado_08,1992,96.9,0,1
9,Estado_08,1993,92.8,0,1
9,Estado_08,1994,89.4,0,1
9,Estado_08,1995,89.7,0,1
9,Estado_08,1996,82.3,0,1
9,Estado_08,1997,84.2,0,1
9,Estado_08,1998,81.3,0,1
9,Estado_08,1999,78.1,0,1
10,Estado_09,1980,97.7,0,0
10,Estado_09,1981,96.8,0,0
10,Estado_09,1982,94.8,0,0
10,Estado_09,1983,96.9,0,0
10,Estado_09,1984,91.2,0,0
10,Estado_09,1985,94.1,0,0
10,Estado_09,1986,95.2,0,0
10,Estado_09,1987,87.8,0,0
10,Estado_09,1988,93.2,0,0
10,Estado_09,1989,93.8,0,0
10,Estado_09,1990,88.2,0,1
10,Estado_09,1991,85.6,0,1
10,Estado_09,1992,77.1,0,1
10,Estado_09,1993,80.5,0,1
10,Estado_09,1994,76.3,0,1
10,Estado_09,1995,75.8,0,1
10,Estado_09,1996,70.2,0,1
10,Estado_09,1997,68.6,0,1
10,Estado_09,1998,66.1,0,1
10,Estado_09,1999,64.6,0,1
11,Estado_10,1980,122.1,0,0
11,Estado_10,1981,127,0,0
11,Estado_10,1982,124.2,0,0
11,Estado_10,1983,126.1,0,0
11,Estado_10,1984,123.7,0,0
11,Estado_10,1985,126.6,0,0
11,Estado_10,1986,118.8,0,0
11,Estado_10,1987,118.3,0,0
11,Estado_10,1988,121.9,0,0
11,Estado_10,1989,120.5,0,0
11,Estado_10,1990,113.5,0,1
11,Estado_10,1991,112.2,0,1
11,Estado_10,1992,115.6,0,1
11,Estado_10,1993,108.7,0,1
11,Estado_10,1994,109.8,0,1
11,Estado_10,1995,103,0,1
11,Estado_10,1996,107.5,0,1
11,Estado_10,1997,103.6,0,1
11,Estado_10,1998,97.8,0,1
11,Estado_10,1999,97.3,0,1
12,Estado_11,1980,108.7,0,0
12,Estado_11,1981,108.3,0,0
12,Estado_11,1982,106.6,0,0
12,Estado_11,1983,109.3,0,0
12,Estado_11,1984,102.7,0,0
12,Estado_11,1985,105.4,0,0
